type,note,W,D,H,combos_in_brochure,combos_in_db,missing_combos,missing_W,missing_D,missing_H
경량랙,경량랙,"[1200, 900, 800, 700, 600, 500]","[600, 450, 300]","[2400, 2100, 1800, 1500, 1200, 900]",108,30,78,"[800, 700, 600, 500]",[],[900]
경량랙(고급/MD 포함),경량랙/고급경량랙/MD경량랙,"[1200, 900, 800, 700, 600, 500]","[600, 450, 300]","[2400, 2100, 1800, 1500, 1200, 900]",108,30,78,"[800, 700, 600, 500]",[],[900]
중량랙,중량랙,"[1800, 1500, 1200, 900]","[900, 600, 450]","[2400, 2100, 1800, 1500, 1200, 900]",72,9,63,[1800],[],"[2400, 2100, 1500, 1200, 900]"
중량랙(KD 포함),중량랙/KD중량랙,"[1800, 1500, 1200, 900]","[900, 600, 450]","[2400, 2100, 1800, 1500, 1200, 900]",72,48,24,[],[],"[1200, 900]"
하이퍼곤도라 중앙,하이퍼 진열대,"[1200, 1000, 900, 800, 700, 600, 500]","[1600, 1200, 1000, 900, 800]","[2350, 2080, 1800, 1530, 1250, 980, 650]",245,5,240,"[900, 800, 700, 600, 500]","[1600, 1200, 1000, 900]","[980, 650]"
하이퍼곤도라 앤드/벽면,하이퍼 진열대,"[1200, 1000, 900, 800, 700, 600, 500]","[800, 600, 500, 450]","[2350, 2080, 1800, 1530, 1250, 980, 650]",196,15,181,"[900, 800, 700, 600, 500]","[500, 450]","[980, 650]"
신형 곤도라 중앙,,"[900, 800, 700, 600, 500]","[900, 800, 700, 600]","[1980, 1880, 1580, 1380, 1180, 980]",120,0,120,"[900, 800, 700, 600, 500]","[900, 800, 700, 600]","[1980, 1880, 1580, 1380, 1180, 980]"
신형 곤도라 앤드/벽면,,"[900, 800, 700, 600, 500]","[450, 400, 350, 320]","[1980, 1880, 1580, 1380, 1180, 980]",120,0,120,"[900, 800, 700, 600, 500]","[450, 400, 350, 320]","[1980, 1880, 1580, 1380, 1180, 980]"
